,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
133,Metropolis,(1927),153 min,8.3,98        ,"168,340",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
134,The Kid,(1921),68 min,8.3,****,"121,416",$5.45M,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
135,Andhadhun,(2018),139 min,8.2,****,"85,069",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
136,Green Book,(2018),130 min,8.2,69        ,"437,303",$85.08M,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
137,Koe no katachi,(2016),130 min,8.2,78        ,"67,028",%^%^%^,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
138,Talvar,(2015),132 min,8.2,****,"33,767",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
139,Baahubali 2: The Conclusion,(2017),167 min,8.2,****,"82,438",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
140,Klaus,(2019),96 min,8.2,65        ,"125,393",%^%^%^,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
141,Masaan,(2015),109 min,8.2,****,"26,495",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
142,Drishyam,(2015),163 min,8.2,****,"77,634",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
143,Queen,(2013),146 min,8.2,****,"64,112",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
144,Mandariinid,(2013),87 min,8.2,73        ,"44,738",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
145,Bhaag Milkha Bhaag,(2013),186 min,8.2,****,"65,386",$1.63M,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.
146,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"91,107",%^%^%^,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
147,Udaan,(2010),134 min,8.2,****,"44,186",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
148,Paan Singh Tomar,(2012),135 min,8.2,****,"35,213",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
149,Zindagi Na Milegi Dobara,(2011),155 min,8.2,****,"73,769",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
